customer_id,title,givenname,surname,streetaddress,city,state,zipcode,country,emailaddress,telephonenumber,mothersmaiden,cctype,ccnumber,cvv2,ccexpires,nationalid,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx
1,Mr.,Arton,Harali,165,,NI,1408,CY,ArtonHaralcic@superrito.com,96 816464,Zelkanovi,MasterCard,5.52E+15,927,11/1/2019,,24,Time recorder,married,basic.4y,no,no,no,telephone,may,mon,261,1,999,0,nonexistent,1.1,93.994,-36.4
2,Mrs.,Manita,van Schagen,Brat apk 977,Choustnkovo Hradite,KR,544 42,CZ,ManitavanSchagen@teleworm.us,604060095,Aalbers,MasterCard,5.39E+15,572,7/1/2018,,31,Fitness director,married,high.school,unknown,no,no,telephone,may,mon,149,1,999,0,nonexistent,1.1,93.994,-36.4
3,Mr.,Erick,Barbosa,Naustavegur 1,Vestmannaeyjar,,900,IS,ErickCastroBarbosa@fleckens.hu,444 7196,Pinto,Visa,4.56E+15,430,3/1/2018,,23,Long haul truck driver,married,high.school,no,yes,no,telephone,may,mon,226,1,999,0,nonexistent,1.1,93.994,-36.4
4,Mrs.,Saidah,Shalhoub,Gotzkowskystrae 37,Kamp-Lintfort,NW,47475,DE,SaidahNadwahShalhoub@gustr.com,02842 15 14 33,Kouri,Visa,4.93E+15,532,2/1/2019,,72,Line repairer,married,basic.6y,no,no,no,telephone,may,mon,151,1,999,0,nonexistent,1.1,93.994,-36.4
5,Ms.,,,159 Hoyle Place,Lynmouth,,4310,NZ,Proatest@rhyta.com,(021) 4757-168,,MasterCard,5.31E+15,295,10/1/2017,,45,Land acquisition manager,married,high.school,no,no,yes,telephone,may,mon,307,1,999,0,nonexistent,1.1,93.994,-36.4
6,Mr.,Movsar,Sultygov,30 Rue D'Akouda,Cite El Intilaka,42,1280,TN,MovsarSultygov@teleworm.us,77599087,Timayev,MasterCard,5.51E+15,689,4/1/2020,,49,Glass repairer,married,basic.9y,unknown,no,no,telephone,may,mon,198,1,999,0,nonexistent,1.1,93.994,-36.4
7,Mr.,Frederik,Klausen,rpd fejedelem tja 6.,Budapest,BU,1194,HU,FrederikMKlausen@fleckens.hu,(1) 417-2240,Overgaard,MasterCard,5.30E+15,8,4/1/2019,,39,Screen printing machine operator,married,professional.course,no,no,no,telephone,may,mon,139,1,999,0,nonexistent,1.1,93.994,-36.4
8,Ms.,Annamria,Polyk,Im Sandbel 58,Frauenfeld,,8510,CH,PolyakAnnamaria@fleckens.hu,052 513 40 53,Sipos,MasterCard,5.17E+15,982,8/1/2018,,45,Utility meter reader,married,unknown,unknown,no,no,telephone,may,mon,217,1,999,0,nonexistent,1.1,93.994,-36.4
9,Dr.,,,Vabaduse 46,Avispea,LV,46208,EE,FernadMeradela@einrot.com,325 8035,,MasterCard,5.54E+15,715,12/1/2018,,36,Training and development specialist,single,professional.course,no,yes,no,telephone,may,mon,380,1,999,0,nonexistent,1.1,93.994,-36.4
10,Mrs.,Meshikiarichikiku,,123 Possidonos Avenue,Krideia,FA,5767,CY,Meshikiarichikiku@einrot.com,23 625864,Chikafutamoshi,MasterCard,5.46E+15,599,11/1/2021,,22,Personnel clerk,single,high.school,no,yes,no,telephone,may,mon,50,1,999,0,nonexistent,1.1,93.994,-36.4
